id,links,benefits_to_germany,insights,created_at,updated_at
1,['https://www.ifpri.org/partnership/german-federal-ministry-economic-cooperation-and-development-bmz/'],,,2025-03-01 21:20:58.025681,2025-03-01 21:20:58.025681
2,['https://www.bmz.de/en/issues/climate-change-and-development/climate-and-development-partnerships'],,,2025-03-01 21:20:58.025681,2025-03-01 21:20:58.025681
3,['https://www.enterprise-development.org/agency-strategies-and-coordination/german-federal-ministry-for-economic-cooperation-and-development-bmz/'],,,2025-03-01 21:20:58.025681,2025-03-01 21:20:58.025681
4,['https://www.bmz.de/en/issues/climate-change-and-development'],,,2025-03-01 21:20:58.025681,2025-03-01 21:20:58.025681
5,['https://siwi.org/latest/bmz-federal-ministry-for-economic-cooperation-and-development-germany/'],,,2025-03-01 21:20:58.025681,2025-03-01 21:20:58.025681
6,['https://www.globalcoffeeplatform.org/latest/2024/gcp-ico-bmz-joint-declaration/'],,,2025-03-01 21:20:58.025681,2025-03-01 21:20:58.025681
7,['https://www.worldbank.org/en/news/statement/2021/10/15/world-bank-germany-bmz-sign-mou-to-promote-green-resilient-and-inclusive-development'],,,2025-03-01 21:20:58.025681,2025-03-01 21:20:58.025681
8,['https://europeanevaluation.org/federal-ministery-for-economic-cooperation-and-development-bmz/'],,,2025-03-01 21:20:58.025681,2025-03-01 21:20:58.025681
9,['https://www.globalcoffeeplatform.org/latest/2024/gcp-ico-bmz-joint-declaration/'],,,2025-03-01 21:20:58.025681,2025-03-01 21:20:58.025681
10,['https://www.bmz.de/en'],,,2025-03-01 21:20:58.025681,2025-03-01 21:20:58.025681
11,['https://www.ecobusiness.fund/fr/press/kfw-on-behalf-of-bmz-invests-usd-166-million-into-ecobusiness-fund-to-protect-climate-and-biodiversity-in-latin-america'],,,2025-03-01 21:20:58.025681,2025-03-01 21:20:58.025681
12,['https://www.bmz.de/en'],,,2025-03-01 21:20:58.025681,2025-03-01 21:20:58.025681
13,['https://www.linkedin.com/company/bmz-bund/'],,,2025-03-01 21:20:58.025681,2025-03-01 21:20:58.025681
14,['https://www.bmz.de/en/issues/climate-change-and-development/energy-and-climate'],,,2025-03-01 21:20:58.025681,2025-03-01 21:20:58.025681
15,['https://www.bmz.de/en/issues/climate-change-and-development/climate-financing'],,,2025-03-01 21:20:58.025681,2025-03-01 21:20:58.025681
16,['https://www.giz.de/en/aboutgiz/corporate_responsibility.html'],,,2025-03-01 21:20:58.025681,2025-03-01 21:20:58.025681
17,['https://www2.fundsforngos.org/donor-agencies/germanys-giz-driving-sustainable-development/'],,,2025-03-01 21:20:58.025681,2025-03-01 21:20:58.025681
18,['https://www.ecobusiness.fund/fr/press/kfw-on-behalf-of-bmz-invests-usd-166-million-into-ecobusiness-fund-to-protect-climate-and-biodiversity-in-latin-america'],,,2025-03-01 21:20:58.025681,2025-03-01 21:20:58.025681
19,['https://www.giz.de/en/html/index.html'],,,2025-03-01 21:20:58.025681,2025-03-01 21:20:58.025681
20,['https://www.greenclimate.fund/ae/giz'],,,2025-03-01 21:20:58.025681,2025-03-01 21:20:58.025681
21,['https://www.giz.de/en/aboutgiz/33179.html'],,,2025-03-01 21:20:58.025681,2025-03-01 21:20:58.025681
22,['https://www.environmentalgrants.org/german-corporation-for-international-cooperation-giz/'],,,2025-03-01 21:20:58.025681,2025-03-01 21:20:58.025681
23,['https://www.weforum.org/organizations/federal-ministry-for-economic-cooperation-and-development-of-germany/'],,,2025-03-01 21:20:58.025681,2025-03-01 21:20:58.025681
24,['https://www.kfw-entwicklungsbank.de/PDF/Download-Center/PDF-Dokumente-Richtlinien/Nachhaltigkeitsrichtlinie_EN.pdf'],,,2025-03-01 21:20:58.025681,2025-03-01 21:20:58.025681
25,['https://www.linkedin.com/company/bmz-bund/'],,,2025-03-01 21:20:58.025681,2025-03-01 21:20:58.025681
26,['https://www.kfw-entwicklungsbank.de/International-financing/KfW-Development-Bank/Tasks-and-goals/Our-cooperation-partners/'],,,2025-03-01 21:20:58.025681,2025-03-01 21:20:58.025681
